Interest Rates,Employment,S&P 500 Price
1.943859273,55.41357113,2206.680582
2.258228944,59.54630512,2486.474488
2.215862783,57.41468676,2405.868337
1.977959542,49.90835272,2140.434475
2.437722808,52.03549192,2411.275663
2.143636835,56.06059825,2187.344909
2.148646786,51.51320834,2263.049249
2.176183572,53.4759086,2281.496374
2.125351611,63.66842224,2355.163011
2.225681934,56.99339607,2326.330337
1.814687751,55.36178043,2078.553895
2.281897215,58.48475241,2337.504507
2.426737871,55.7093282,2485.774097
2.259270476,61.8872018,2478.413528
2.38801924,66.55127056,2665.00807
1.715103596,60.20251695,2057.393366
2.392425284,60.57381954,2423.590565
2.388766722,58.26132918,2605.470983
2.25666065,52.77316693,2303.851816
2.089815376,48.80721748,2095.440317
2.348535874,58.65942761,2495.24303
1.751579397,54.1482556,1871.361622
2.043664892,55.88532564,2213.4959
1.925000309,50.65959264,2173.474255
2.555488648,60.66742545,2505.572687
2.327856795,52.32411313,2394.960918
2.470797697,66.41062676,2607.334886
2.493477616,62.36990787,2711.535184
2.019271886,61.30918176,2287.893451
2.150985995,58.01026516,2301.183322
2.346574367,60.24485249,2578.928716
2.234971973,66.43079774,2400.838075
2.318586182,58.47312625,2513.761261
2.471254469,54.27216682,2499.709024
2.429504212,55.96780222,2511.585107
1.86233331,53.5464955,2056.66532
2.08177214,59.49549477,2322.506869
2.078313338,54.70496374,2214.438648
2.035760712,58.20633629,2293.011223
2.153788109,53.79384887,2284.377552
2.368019487,52.15390967,2395.449084
2.045156301,55.33238241,2232.631281
2.294886883,62.08243198,2486.886187
1.946422633,55.64811342,2128.56097
2.378292866,53.86825132,2330.264882
1.907588612,65.05663684,2179.832793
2.377799098,61.38839068,2454.376297
1.821981194,64.82714703,2136.421802
1.955478524,54.34531977,2218.440607
2.241784674,52.03312155,2243.357033
2.421366293,64.37299939,2583.772535
2.220100767,61.48700303,2467.225659
2.288027409,51.35831748,2306.250551
2.273335108,50.81248482,2266.485265
2.364973084,54.6110588,2400.575035
1.864920817,52.86351173,2077.039535
2.413087541,63.18494849,2615.057826
2.326110511,58.05225193,2473.534512
2.206374602,58.96669179,2409.419529
2.331762059,51.20679921,2365.334582
2.158107403,56.94161567,2380.778616
2.061519772,54.72591953,2166.298978
2.236911068,63.54432256,2465.86378
1.784757431,60.11927834,2057.81389
2.47840331,55.5088784,2479.967865
2.05421397,58.02172807,2271.569659
1.908078191,58.96261179,2097.923278
2.402099755,50.3266607,2380.185822
2.294610032,50.27355882,2226.020117
2.409822884,53.24919914,2375.003281
2.043082841,53.48238165,2180.527688
2.622911123,60.63401438,2645.002278
2.050541378,64.34248057,2317.91969
2.195249379,59.31349642,2442.427461
2.098943088,64.00034445,2282.299179
1.85685153,56.44881372,2152.663792
2.621272516,52.03897077,2574.124645
2.295624495,50.94161524,2255.973064
2.178268438,54.10428039,2372.122602
2.406869154,58.72186579,2594.06085
2.311120221,64.27205212,2480.937937
2.470552526,55.68649232,2571.693563
