AAPL,sp500,GOOG
60.19857,1295.5,313.644379
59.972858,1289.089966,311.3280640000001
60.671429,1293.670044,313.1163640000001
61.30143,1308.040039,315.273285
61.10714300000001,1314.5,318.590851
60.042858,1315.380005,291.9008790000001
61.05857099999999,1316.0,291.666748
60.05857099999999,1314.650024,289.380341
63.80857099999999,1326.060059,283.6817020000001
63.51857,1318.430054,282.989288
63.897144,1316.329956,288.907104
64.715714,1313.01001,287.766388
65.211426,1312.410034,288.971863
65.16999799999999,1324.089966,289.330505
65.017143,1325.540039,291.4625240000001
65.668571,1344.900024,297.051575
66.281425,1344.329956,303.4077450000001
66.975716,1347.050049,302.252075
68.097145,1349.959961,303.786346
70.45285799999998,1351.949951,304.588318
70.488571,1342.640015,301.8237
71.800003,1351.77002,304.95694
72.779999,1350.5,303.741516
71.095711,1343.22998,301.649353
71.744286,1358.040039,302.127563
71.73143,1361.22998,301.191071
73.550003,1362.209961,305.8535770000001
73.291428,1357.660034,302.8349
73.769997,1363.459961,301.923309
74.629997,1365.73999,303.8112490000001
75.108574,1367.589966,303.517334
76.487144,1372.180054,308.040375
77.49143199999997,1365.680054,307.970642
77.781425,1374.089966,310.037903
77.882858,1369.630005,309.465057
76.165718,1364.329956,305.978119
75.751427,1343.359985,301.350464
75.812859,1352.630005,302.267029
77.427139,1365.910034,302.436401
77.88143199999998,1370.869995,299.004272
78.85714,1371.089966,301.445099
81.157143,1395.949951,307.736542
84.225716,1394.280029,306.844879
83.65142800000002,1402.599976,309.405273
83.652855,1404.170044,311.3529660000001
85.871429,1409.75,315.8062740000001
86.565712,1405.52002,315.5621950000001
86.071426,1402.890015,318.795074
85.620003,1392.780029,321.818756
85.150002,1397.109985,320.095215
86.711426,1416.51001,323.452606
87.78286,1412.52002,322.301941
88.23143,1405.540039,326.655609
87.122856,1403.280029,322.994324
85.650002,1408.469971,319.422729
88.37571700000002,1419.040039,322.252106
89.902855,1413.380005,320.110138
89.187141,1398.959961,316.3890990000001
90.525711,1398.079956,314.97937
90.889999,1382.199951,314.242157
89.77714499999998,1358.589966,312.259583
89.457146,1368.709961,316.792572
88.96714,1387.569946,324.28949
86.461426,1370.26001,311.1337890000001
82.87571700000002,1369.569946,301.903381
87.099998,1390.780029,303.646851
86.905716,1385.140015,302.59082
83.91999799999998,1376.920044,298.531036
81.854286,1378.530029,296.917084
81.671425,1366.939941,297.684204
80.040001,1371.969971,299.51236
87.14286,1390.689941,303.721588
86.814285,1399.97998,306.585846
86.14286,1403.359985,306.341766
83.425713,1397.910034,301.295685
83.16143000000002,1405.819946,301.086456
83.711426,1402.310059,302.496185
83.117142,1391.569946,304.369141
80.75,1369.099976,297.370392
81.354286,1369.579956,302.640625
81.168571,1363.719971,305.250854
81.311432,1354.579956,303.4376529999999
81.502853,1357.98999,305.684235
80.958572,1353.390015,301.484955
79.745712,1338.349976,300.872253
79.024284,1330.660034,304.413971
78.011429,1324.800049,313.29071
75.73143,1304.859985,310.361694
75.76857,1295.219971,299.078979
80.182854,1315.98999,305.908386
79.567146,1316.630005,299.278229
81.50856800000003,1318.859985,303.5920720000001
80.760002,1320.680054,300.702881
80.327141,1317.819946,294.660553
81.752853,1332.420044,296.060303
82.738571,1313.319946,293.0166930000001
82.53286,1310.329956,289.345459
80.141426,1278.040039,284.42392
80.612854,1278.180054,288.214691
80.404289,1285.5,284.139984
81.637146,1315.130005,289.200989
81.674286,1314.98999,288.03537
82.902855,1325.660034,289.141235
81.595711,1308.930054,283.188538
82.308571,1324.180054,281.494873
81.737144,1314.880005,279.497375
81.647141,1329.099976,278.481171
82.01857,1342.839966,281.200989
83.682854,1344.780029,284.359161
83.915718,1357.97998,289.6791990000001
83.677139,1355.689941,287.676727
82.524284,1325.51001,281.549683
83.157143,1335.02002,284.672974
81.538574,1313.719971,279.303101
81.718575,1319.98999,281.285675
82.071426,1331.849976,283.587036
81.292854,1329.040039,281.101349
83.428574,1362.160034,288.951935
84.645714,1365.51001,289.151184
85.629997,1374.02002,292.817444
87.13428499999998,1367.579956,296.847351
86.554283,1354.680054,291.895905
87.69856999999998,1352.459961,291.910858
86.887146,1341.469971,289.763885
86.347145,1341.449951,284.528503
85.557144,1334.76001,284.1748350000001
86.424286,1356.780029,287.183563
86.701431,1353.640015,286.386566
86.705711,1363.670044,287.288177
86.608574,1372.780029,289.295654
87.760002,1376.51001,295.4226680000001
86.328575,1362.660034,304.2695310000001
86.261429,1350.52002,306.605774
85.845711,1338.310059,302.650604
82.138573,1337.890015,302.859802
82.12571700000002,1360.02002,305.53479
83.594284,1385.969971,316.294464
85.004288,1385.300049,314.969421
87.251427,1379.319946,315.303162
86.687141,1375.319946,315.158722
86.827141,1365.0,313.20105
87.957146,1390.98999,319.46756
88.935715,1394.22998,320.209778
88.701431,1401.349976,319.074036
88.55143000000002,1402.219971,319.915863
88.675713,1402.800049,319.9756470000001
88.814285,1405.869995,319.8013
90.0,1404.109985,328.772675
90.241432,1403.930054,333.081543
90.118568,1405.530029,332.523621
90.905716,1415.51001,335.17868
92.587143,1418.160034,337.305695
95.021431,1418.130005,336.508698
93.722855,1413.170044,333.504944
95.552856,1413.48999,337.325623
94.66143,1402.079956,337.136322
94.745712,1411.130005,338.047913
96.525711,1410.439941,333.360474
96.400002,1409.300049,337.360504
96.209999,1410.48999,342.720398
94.83857,1399.47998,339.56723
95.034286,1406.579956,341.265839
96.424286,1404.939941,339.248413
95.747147,1403.439941,339.08902
96.610001,1432.119995,348.394135
97.205711,1437.920044,351.756531
94.677139,1429.079956,349.076569
94.370003,1433.560059,344.802582
95.684288,1436.560059,344.150055
97.568573,1459.98999,351.701721
98.754288,1465.77002,353.514954
99.968575,1461.189941,353.664368
100.272858,1459.319946,357.7988890000001
100.300003,1461.050049,362.391663
99.814285,1460.26001,362.7005
100.012856,1460.150024,365.624542
98.684288,1456.890015,373.290802
96.220001,1441.589966,373.181213
95.025711,1433.319946,375.323212
97.331429,1447.150024,376.837524
95.300003,1440.670044,375.841248
94.19857,1444.48999,379.467651
94.472855,1445.75,377.081604
95.921425,1450.98999,379.826324
95.257141,1461.400024,382.590942
93.227142,1460.930054,382.391693
91.167145,1455.880005,377.505005
90.835716,1441.47998,370.655701
91.558571,1432.560059,370.889801
89.728569,1432.839966,374.336884
89.958572,1428.589966,370.984467
90.68,1440.130005,369.106506
92.827141,1454.920044,370.959564
92.087143,1460.910034,376.334412
90.377144,1457.339966,346.202362
87.120003,1433.189941,339.622009
90.575714,1433.819946,338.067841
87.622856,1413.109985,338.904694
88.11856800000002,1408.75,337.385406
87.077141,1412.969971,337.614532
86.285713,1411.939941,336.314423
85.045715,1412.160034,338.879791
85.220001,1427.589966,342.511169
82.400002,1414.199951,342.675568
83.517143,1417.26001,340.204834
83.264282,1428.390015,339.587158
